filename,classification,generator,category,scene,description
ccbcb5187879ea5f9ef2871e59b94651.jpeg,fake,Stable Diffusion,Portrait,True,"Adult woman with short wavy brown hair wearing a gray cardigan and light-colored top, standing outdoors in a sunlit park with a neutral expression and shallow depth of field background."
eaef1ce47d4afebf42b1a93fcf502386.jpeg,fake,Midjourney,Close-Up,True,"Young woman holding and biting a sandwich, looking at the camera in a cozy café with warm, blurred background lighting."
v7ghcav7ghcav7gh.jpeg,fake,Nano Banana Pro,Portrait,True,A male doctor wearing a stethoscope holds a wristwatch against a female patient’s forehead during a medical exam; the patient in a hospital gown looks up at him.
2c4c0b171577884f5c0991cacb5c5ebc_r1.jpeg,fake,Stable Diffusion,Portrait,True,"A woman standing in a classroom wearing a beige blazer and blue shirt, smiling and gesturing with both hands; desks, chairs, a whiteboard, and a projector screen visible in the background."
4pwf294pwf294pwf.jpeg,fake,Nano Banana Pro,Group,True,"Two men sitting on a couch indoors, smiling and clinking large beer mugs; several beer bottles and a bowl of chips on the table, window with city buildings visible behind them."
0bce6c35c24ec5ce8ae8ad5bb4f67d59_r2.jpeg,fake,Stable Diffusion,Portrait,True,"A man wearing a white t-shirt and jeans sits on a park bench with his hands clasped, smiling slightly; trees, grass, and people in the background."
b289c80bdf2d5092fffe0e53d927af2c.jpeg,fake,Midjourney,Portrait,True,"Top-down view of a person in a cap and jacket standing on concrete holding a cup, next to a small brown dog; long shadows cast on the ground."
04ed7ba99198264f5405056b941a4d3c.jpeg,fake,Midjourney,Group,True,"Four children in vintage formal clothing standing behind a glass counter, looking solemn. Two younger children in front (a blonde girl with a white hair bow and a girl wearing a vest and tie) and two older boys visible behind them, muted indoor lighting and reflections on the glass."
04e61d9506ffe1d8ac6c48e8b091cc48.jpeg,fake,Stable Diffusion,Group,True,"Two women sitting at a small round café table by a large window, facing each other and smiling while holding drinks (coffee and a glass of orange juice). Urban buildings and parked cars are visible outside the window, creating a casual daytime café setting."
ozrpf8ozrpf8ozrp.jpeg,fake,Nano Banana Pro,Group,True,"Two shirtless boxers in a boxing ring during a match — the boxer on the left with red gloves and a black headguard is extending a punch toward the boxer on the right, who wears blue gloves and is leaning back; arena lights and a seated audience are visible in the background."
